,asteroid,a,b,c,var
32,DES=+2000005.csv,0.0029992465618132735,-2.4028117767871113,142.36133983790822,x
33,DES=+2000006.csv,0.0011476589765617626,-0.6257435712676265,10.108533086247624,z
34,DES=+2000006.csv,-0.001563451662606331,2.2275513251062447,-249.25341538745158,y
35,DES=+2000006.csv,-0.004826431252371629,1.056838712125588,227.30054792202887,x
36,DES=+2000007.csv,-0.00021258348424640225,-0.09054466889725273,30.9066966014652,z
37,DES=+2000007.csv,-0.004715563380989683,2.6437627698601394,-78.14991666457331,y
38,DES=+2000007.csv,-0.0030736684562489014,-0.47952015097383116,310.74360857829083,x
39,DES=+2000008.csv,-0.00033205530857221784,0.059194373450046196,36.132854023712696,z
40,DES=+2000008.csv,0.002000548541181792,-1.7348033082951642,-12.964340572191507,y
41,DES=+2000008.csv,0.002681196109160907,0.052427326840406414,-370.60579911966437,x
42,DES=+2000009.csv,-0.0001134420027808809,-0.08770531009577827,31.85819292227346,z
43,DES=+2000009.csv,0.0022792149824233695,-1.798901968725262,-54.00306071653823,y
44,DES=+2000009.csv,0.0021185348739974907,0.2715845320688801,-370.1295635051922,x
45,DES=+2000010.csv,0.0001293612651730437,-0.1084657226143697,-5.690671804098428,z
46,DES=+2000010.csv,-0.0007609193012012256,-0.9834695842740905,461.2004119085751,y
47,DES=+2000010.csv,0.0021664236271167116,-1.4221200346255534,-199.4978752038208,x
48,DES=+2000011.csv,-0.00019787994635006402,0.1344409298892522,7.494758975392263,z
49,DES=+2000011.csv,-0.00010868419016031957,-1.4100683717193179,268.0285996696174,y
50,DES=+2000011.csv,0.003090366833434494,-1.0348024046389501,-306.48679997239276,x
51,DES=+2000012.csv,0.00014531686148531986,0.19634265930820008,-49.38843554944467,z
52,DES=+2000012.csv,0.0029821922130376407,-1.9556475608878279,32.68536835341289,y
53,DES=+2000012.csv,0.0032359702581992306,0.2795755619976744,-384.40317339506527,x
54,DES=+2000013.csv,0.0003994100214732303,0.23934826782522137,-111.89853237913597,z
55,DES=+2000013.csv,-0.0009045531528795995,1.6857686261745481,-176.4299894349567,y
56,DES=+2000013.csv,-0.0029163913413599784,0.6111275377345662,362.31039891102364,x
57,DES=+2000014.csv,0.00021688367435668366,0.12467889541161767,-65.66437633686552,z
58,DES=+2000014.csv,-0.0023154501852522165,1.4727477989470288,148.52734921704263,y
59,DES=+2000014.csv,-0.001494926524178781,-0.6905538475665518,419.64558111486804,x
60,DES=+2000015.csv,-4.4808724569402993e-05,-0.29306703635910336,59.99963711838024,z
61,DES=+2000015.csv,-0.003192357298325252,0.9741342486547974,274.42409953562674,y
62,DES=+2000015.csv,0.0011541271402975355,-1.9606762924391812,195.18903184515193,x
63,DES=+2000016.csv,-7.96836101119472e-05,-0.03347604716179635,25.27519827619653,z
64,DES=+2000016.csv,0.0023575343195925682,-0.2771648747736678,-444.9583094817229,y
65,DES=+2000016.csv,-0.0011700594494084883,1.7458140515045544,-163.38719806117686,x
66,DES=+2000017.csv,-0.00016216034137354391,0.17484718026900165,-8.506028200929297,z
67,DES=+2000017.csv,-0.0013965767596860184,-0.9474295871488293,378.50671362745044,y
68,DES=+2000017.csv,0.003041597611778479,-1.5202704686232977,-164.4755989338084,x
69,DES=+2000018.csv,0.0009916028661258046,-0.39523596072885014,-10.520462868344541,z
70,DES=+2000018.csv,-0.0043628836843265795,2.656615036710875,-91.74504751129395,y
71,DES=+2000018.csv,-0.0035619163747757643,-0.2076227056174913,282.6678204844357,x
72,DES=+2000019.csv,4.847603308490507e-05,0.011304831471850673,-9.978020291879984,z
73,DES=+2000019.csv,-0.0002826584076257292,-1.2777661753208125,261.99191577152055,y
74,DES=+2000019.csv,0.0029192819780040563,-1.296544325202784,-268.51729216835577,x
75,DES=+2000020.csv,5.747897625981134e-05,-0.01917680845333077,-2.2080291245481263,z
76,DES=+2000020.csv,-0.004066962659108029,0.5797509511012706,286.2244895343524,y
77,DES=+2000020.csv,0.0022997102363471297,-2.3185773374533403,171.0878529180967,x
78,DES=+2000021.csv,-0.0001097008754937674,-0.03363351239537935,21.652551219477555,z
79,DES=+2000021.csv,0.002387305413223593,-1.74547159028786,-20.543856255731626,y
80,DES=+2000021.csv,0.0024540144822759354,0.35786986629621326,-412.6332854637705,x
81,DES=+2000022.csv,4.060219805061646e-05,-0.32569336093807116,62.611047364036274,z
82,DES=+2000022.csv,0.0019927780421904184,-1.2932731960683033,-261.0697716897603,y
83,DES=+2000022.csv,0.0006918733029320986,0.8895125415236879,-394.49115750845596,x
84,DES=+2000023.csv,-2.058465086385297e-06,-0.2402398866916311,43.858770492235315,z
85,DES=+2000023.csv,0.0024854473766177374,-1.757546734690053,-150.60041045387794,y
86,DES=+2000023.csv,0.0010536968289184172,0.7187721935131767,-328.79136458372955,x
87,DES=+2000024.csv,2.307448002522652e-05,-0.01832321996527548,-3.357584699487945,z
88,DES=+2000024.csv,0.0017447173236216386,-0.6086434881788034,-445.57324562596966,y
89,DES=+2000024.csv,-0.0005518735596781508,1.5048584501460502,-182.6841938862376,x
90,DES=+2000025.csv,-0.00025970408338539584,-0.48922789778467185,99.80195547185986,z
91,DES=+2000025.csv,-0.001896145127856884,2.1945788597500315,-152.87754982021696,y
92,DES=+2000025.csv,-0.003942593763131602,1.020834686765011,223.76025289249878,x
93,DES=+2000026.csv,-0.00017341160430230643,0.07888018490349212,16.07192763393757,z
94,DES=+2000026.csv,-0.002332925368357941,0.005222471039915133,429.64130411477396,y
95,DES=+2000026.csv,0.001618971737385122,-1.7578540239699918,56.38583728680601,x
96,DES=+2000027.csv,-2.9727829119122265e-05,-0.024687881260408877,8.857527085353121,z
97,DES=+2000027.csv,0.0028181820078183833,-1.3936280680407291,-238.70454960237916,y
98,DES=+2000027.csv,0.0008415530838916851,1.0134557191043494,-301.3829754382273,x
99,DES=+2000028.csv,-0.0001593280849344188,-0.11591041095891097,66.51567148913212,z
100,DES=+2000028.csv,0.0018918920417452228,-0.25047439213708744,-450.0101839738962,y
101,DES=+2000028.csv,-0.0010010572701919518,1.5614434741321115,-60.39035089113636,x
102,DES=+2000029.csv,-0.00023006930473475111,0.2194697558530277,-10.699183103179568,z
103,DES=+2000029.csv,-0.0019703674454667475,2.041034566129133,-121.79113252111145,y
104,DES=+2000029.csv,-0.003058307226705999,0.23413097158757765,362.938452564498,x
105,DES=+2000030.csv,9.177918533152782e-05,0.0076685506942685815,-14.68138536702678,z
106,DES=+2000030.csv,0.0032066325044684636,-1.2340907190477075,-257.6126019426648,y
107,DES=+2000030.csv,0.0006751817713830196,1.2297238930583354,-307.58415381507683,x
108,DES=+2000031.csv,0.0007221805095108249,-0.16531181907785314,-240.54241327792383,z
109,DES=+2000031.csv,0.0010533169337350568,0.38801124901979145,-518.4329455271638,y
