,asteroid,X,Y,Z
213,DES=+2000495.csv,-11468006.85833545,-395070270.48472,15566867.63044979
214,DES=+2000495.csv,-9941509.543278944,-394936983.4430799,15568672.58702631
215,DES=+2000495.csv,-8414854.061283909,-394797365.2619752,15570227.99705416
216,DES=+2000495.csv,-6888064.712659304,-394651409.7858009,15571533.50408556
217,DES=+2000495.csv,-5361165.863702344,-394499110.9297438,15572588.75405976
218,DES=+2000495.csv,-3834181.946647998,-394340462.6802606,15573393.39531483
219,DES=+2000495.csv,-2307137.459608683,-394175459.0955372,15573947.07860024
220,DES=+2000495.csv,-780056.9665085996,-394004094.3059278,15574249.45709138
221,DES=+2000495.csv,747034.9029817507,-393826362.5143671,15574300.18640712
222,DES=+2000495.csv,2274113.45350254,-393642257.9967561,15574098.92463075
223,DES=+2000495.csv,3801153.924043362,-393451775.1023196,15573645.33233579
224,DES=+2000495.csv,5328131.48795322,-393254908.2539413,15572939.07261659
225,DES=+2000495.csv,6855021.252914068,-393051651.9484816,15571979.81112473
226,DES=+2000495.csv,8381798.260866285,-392842000.7570916,15570767.21611077
227,DES=+2000495.csv,9908437.487884682,-392625949.3255367,15569300.95847002
228,DES=+2000495.csv,11434913.84400621,-392403492.374545,15567580.71179196
229,DES=+2000495.csv,12961202.17301478,-392174624.7001991,15565606.15241048
230,DES=+2000495.csv,14487277.25219575,-391939341.1743814,15563376.95945308
231,DES=+2000495.csv,16013113.79207743,-391697636.7452826,15560892.81488706
232,DES=+2000495.csv,17538686.43617762,-391449506.4379752,15558153.40356052
233,DES=+2000495.csv,19063969.76077284,-391194945.3550435,15555158.41323721
234,DES=+2000495.csv,20588938.27470363,-390933948.6772661,15551907.53462492
235,DES=+2000495.csv,22113566.41922616,-390666511.6643319,15548400.46139699
236,DES=+2000495.csv,23637828.56791408,-390392629.6555786,15544636.89020871
237,DES=+2000495.csv,25161699.02661037,-390112298.0707352,15540616.52070895
238,DES=+2000495.csv,26685152.03342298,-389825512.4106597,15536339.05554934
239,DES=+2000495.csv,28208161.75875708,-389532268.2580658,15531804.20039143
240,DES=+2000495.csv,29730702.30537805,-389232561.2782272,15527011.66391394
241,DES=+2000495.csv,31252747.70849258,-388926387.2196611,15521961.15782014
242,DES=+2000495.csv,32774271.93584454,-388613741.9147922,15516652.39684713
243,DES=+2000495.csv,34295248.88781706,-388294621.2805964,15511085.09877604
244,DES=+2000495.csv,35815652.39753723,-387969021.3192284,15505258.98444486
245,DES=+2000495.csv,37335456.23097981,-387636938.118634,15499173.77776273
246,DES=+2000495.csv,38854634.08706816,-387298367.853156,15492829.20572615
247,DES=+2000495.csv,40373159.59777115,-386953306.7841297,15486224.99843706
248,DES=+2000495.csv,41891006.32819574,-386601751.2604766,15479360.88912247
249,DES=+2000495.csv,43408147.7766755,-386243697.7192943,15472236.61415499
250,DES=+2000495.csv,44924557.37485529,-385879142.6864476,15464851.91307506
251,DES=+2000495.csv,46440208.4877731,-385508082.7771604,15457206.52861385
252,DES=+2000495.csv,47955074.41393954,-385130514.6966096,15449300.20671684
253,DES=+2000495.csv,49469128.38541591,-384746435.2405235,15441132.69656855
254,DES=+2000495.csv,50982343.56789156,-384355841.295782,15432703.75061701
255,DES=+2000495.csv,52494693.0607613,-383958729.841024,15424013.12459965
256,DES=+2000495.csv,54006149.89720339,-383555097.9472565,15415060.57756895
257,DES=+2000495.csv,55516687.04425886,-383144942.7784697,15405845.87191848
258,DES=+2000495.csv,57026277.40291248,-382728261.5922573,15396368.77340938
259,DES=+2000495.csv,58534893.80817597,-382305051.7404406,15386629.0511971
260,DES=+2000495.csv,60042509.02917374,-381875310.6696981,15376626.47785813
261,DES=+2000495.csv,61549095.76923153,-381439035.9221994,15366360.82941711
262,DES=+2000495.csv,63054626.6659684,-380996225.1362442,15355831.88537407
263,DES=+2000495.csv,64559074.29139166,-380546876.0469055,15345039.42873168
264,DES=+2000495.csv,66062411.15199597,-380090986.4866776,15333983.24602313
265,DES=+2000495.csv,67564609.68886606,-379628554.3861287,15322663.12733923
266,DES=+2000495.csv,69065642.27778329,-379159577.7745571,15311078.8663568
267,DES=+2000495.csv,70565481.22933637,-378684054.780653,15299230.26036617
268,DES=+2000495.csv,72064098.78903678,-378201983.6331642,15287117.11029974
269,DES=+2000495.csv,73561467.13743752,-377713362.6615644,15274739.22075951
270,DES=+2000495.csv,75057558.39025725,-377218190.2967277,15262096.40004614
271,DES=+2000495.csv,76552344.59850861,-376716465.0716071,15249188.46018703
272,DES=+2000495.csv,78045797.74863108,-376208185.6219156,15236015.21696505
273,DES=+2000495.csv,79537889.76262856,-375693350.6868129,15222576.48994724
274,DES=+2000495.csv,81028592.49821182,-375171959.1095946,15208872.10251381
275,DES=+2000495.csv,82517877.7489456,-374644009.8383874,15194901.88188697
276,DES=+2000495.csv,84005717.24440074,-374109501.9268463,15180665.6591602
277,DES=+2000495.csv,85492082.65031135,-373568434.5348569,15166163.26932739
278,DES=+2000495.csv,86976945.56873636,-373020806.9292421,15151394.55131246
279,DES=+2000495.csv,88460277.53822745,-372466618.4844714,15136359.34799857
280,DES=+2000495.csv,89942050.03400095,-371905868.6833758,15121057.50625788
281,DES=+2000495.csv,91422234.4681154,-371338557.1178654,15105488.87698114
282,DES=+2000495.csv,92900802.1896548,-370764683.4896525,15089653.31510784
283,DES=+2000495.csv,94377724.48491666,-370184247.6109776,15073550.6796556
284,DES=+2000495.csv,95852972.57760625,-369597249.4053411,15057180.83375056
285,DES=+2000495.csv,97326517.62903608,-369003688.9082377,15040543.64465721
286,DES=+2000495.csv,98798330.73833142,-368403566.2678963,15023638.98380849
287,DES=+2000495.csv,100268382.9426421,-367796881.7460241,15006466.72683583
288,DES=+2000495.csv,101736645.2173594,-367183635.718556,14989026.75359938
289,DES=+2000495.csv,103203088.476341,-366563828.6764076,14971318.94821791
290,DES=+2000495.csv,104667683.5721416,-365937461.2262338,14953343.19909903
291,DES=+2000495.csv,106130401.2962509,-365304534.0911925,14935099.3989687
292,DES=+2000495.csv,107591212.3793388,-364665048.1117136,14916587.44490136
293,DES=+2000495.csv,109050087.4915096,-364019004.2462721,14897807.23834927
294,DES=+2000495.csv,110506997.2425631,-363366403.5721685,14878758.68517183
295,DES=+2000495.csv,111961912.182267,-362707247.2863128,14859441.69566463
296,DES=+2000495.csv,113414802.8006375,-362041536.7060145,14839856.18458794
297,DES=+2000495.csv,114865639.5282322,-361369273.2697776,14820002.07119508
298,DES=+2000495.csv,116314392.7364546,-360690458.5381001,14799879.27925982
299,DES=+2000495.csv,117761032.7378716,-360005094.1942775,14779487.73710385
300,DES=+2000495.csv,119205529.7865466,-359313182.0452092,14758827.37762295
301,DES=+2000495.csv,120647854.078387,-358614724.0222061,14737898.13831335
302,DES=+2000495.csv,122087975.7515091,-357909722.1817995,14716699.96129693
303,DES=+2000495.csv,123525864.8866219,-357198178.7065442,14695232.7933463
304,DES=+2000495.csv,124961491.5074285,-356480095.9058187,14673496.58590968
305,DES=+2000495.csv,126394825.5810451,-355755476.216614,14651491.2951358
306,DES=+2000495.csv,127825837.0184385,-355024322.204309,14629216.8818996
307,DES=+2000495.csv,129254495.674878,-354286636.5634278,14606673.3118287
308,DES=+2000495.csv,130680771.3503967,-353542422.1183734,14583860.5553322
309,DES=+2000495.csv,132104633.7902576,-352791681.8241362,14560778.58763215
310,DES=+2000495.csv,133526052.685416,-352034418.7669734,14537427.38879861
311,DES=+2000495.csv,134944997.6729691,-351270636.1650605,14513806.94378906
312,DES=+2000495.csv,136361438.3365814,-350500337.3691185,14489917.24249376
313,DES=+2000495.csv,137775344.2068767,-349723525.8630238,14465758.27978547
314,DES=+2000495.csv,139186684.7617888,-348940205.2644141,14441330.05557543
315,DES=+2000495.csv,140595429.4268684,-348150379.3253016,14416632.57487291
316,DES=+2000495.csv,142001547.5755459,-347354051.9327123,14391665.84784834
317,DES=+2000495.csv,143405008.5293561,-346551227.109367,14366429.88989739
318,DES=+2000495.csv,144805781.5581395,-345741909.0144147,14340924.72170347
319,DES=+2000495.csv,146203835.8802379,-344926101.9442285,14315150.3692974
320,DES=+2000495.csv,147599140.6626977,-344103810.3332639,14289106.86411183
321,DES=+2000495.csv,148991665.0215032,-343275038.7549746,14262794.2430294
322,DES=+2000495.csv,150381378.0218528,-342439791.922776,14236212.54842377
323,DES=+2000495.csv,151768248.6784862,-341598074.6910423,14209361.82819517
324,DES=+2000495.csv,153152245.9560674,-340749892.0561209,14182242.13579901
325,DES=+2000495.csv,154533338.7696231,-339895249.1573534,14154853.53027128
326,DES=+2000495.csv,155911495.98503,-339034151.2780866,14127196.07625033
327,DES=+2000495.csv,157286686.4195457,-338166603.8466694,14099269.84399737
328,DES=+2000495.csv,158658878.842373,-337292612.4374283,14071074.90941645
329,DES=+2000495.csv,160028041.9752499,-336412182.7716188,14042611.35407506
330,DES=+2000495.csv,161394144.4930589,-335525320.7183548,14013879.26522584
331,DES=+2000495.csv,162757155.0244485,-334632032.2955158,13984878.73583014
332,DES=+2000495.csv,164117042.1524624,-333732323.6706356,13955609.86458322
333,DES=+2000495.csv,165473774.4151738,-332826201.1617761,13926072.75594115
334,DES=+2000495.csv,166827320.3063228,-331913671.2383882,13896267.52014992
335,DES=+2000495.csv,168177648.2759552,-330994740.522164,13866194.27327567
336,DES=+2000495.csv,169524726.7310631,-330069415.787881,13835853.13723654
337,DES=+2000495.csv,170868524.0362272,-329137703.9642442,13805244.23983589
338,DES=+2000495.csv,172209008.5142614,-328199612.1347235,13774367.71479635
339,DES=+2000495.csv,173546148.4468602,-327255147.5383902,13743223.70179482
340,DES=+2000495.csv,174879912.0752499,-326304317.5707541,13711812.34649803
341,DES=+2000495.csv,176210267.6008446,-325347129.7845992,13680133.80059901
342,DES=+2000495.csv,177537183.1859069,-324383591.8908228,13648188.22185349
343,DES=+2000495.csv,178860626.9542157,-323413711.7592728,13615975.7741169
344,DES=+2000495.csv,180180566.9917393,-322437497.4195901,13583496.6273821
345,DES=+2000495.csv,181496971.3473175,-321454957.0620486,13550750.95781621
346,DES=+2000495.csv,182809808.0333495,-320466099.0384,13517738.94779876
347,DES=+2000495.csv,184119045.0264925,-319470931.8627176,13484460.78595918
348,DES=+2000495.csv,185424650.2683668,-318469464.2122435,13450916.6672148
349,DES=+2000495.csv,186726591.6662711,-317461704.9282348,13417106.79280843
