,X,Y,Z
242,719560644.3213967,-365050825.5077999,37346072.67425431
243,633002069.384662,-311474844.2825509,-329897365.1567233
244,658146843.924833,13664996.85504441,-371051653.5062083
245,829011305.3187561,-117721341.2307917,-166526357.6753197
246,693331511.1879967,-190253920.9113833,-119845564.0182413
247,737407752.3199385,-105143788.7922186,258434208.8222132
248,660109888.037819,-328499689.4439894,-253136720.7629084
249,644004304.7280092,-293945254.9046722,-341866376.8090135
250,671977294.265424,-352350240.5954928,-81111749.35054138
251,524410217.2555817,-531193085.8818359,-155038790.9506032
252,679219778.5882871,-251093499.4007069,-172216880.8395613
253,699229763.1249729,-283815177.7932811,-104309455.1060379
254,557405190.7300676,-529234411.4183322,-151440352.5668679
255,706576855.0771846,-161499951.6243004,-176314666.3538522
256,732904994.4384837,-80678004.60872483,-275535559.5553869
257,633147724.4719877,-430637659.5890937,-209897898.6646984
258,659944912.7432249,-133286250.1219035,-318159678.2977921
259,503267473.2885288,-430595417.2289862,-257665542.5787281
260,686190956.6139975,-167648977.8904521,141100686.0398743
261,661699000.9787425,-59882633.57891722,371679905.6417868
262,638984785.055192,-155257078.3405904,-274254512.3533897
263,714720195.901103,-229277927.2393391,96364595.91300803
264,587312412.8105795,-455649911.5224032,-23992672.67830992
265,-169524553.6228001,638109659.9080281,63234872.02965707
266,-315172070.229338,675417617.0297717,181575381.6193319
267,-105259585.4873656,815771710.314118,62373332.45121253
268,-349401184.3043939,640675926.7967775,185350940.3977056
269,-69790327.92133649,709383229.7700237,-31720354.85053712
270,-323721954.622776,680612395.7770678,149383190.5683739
271,-440437783.3753415,595304548.4894449,45060413.13412806
272,-104477755.1225947,661812565.2526687,-308013984.4519725
273,32019594.16107335,779601159.4001722,-35278984.23715562
274,109400080.1841708,678577492.6166476,72203836.82936227
275,-398829799.7281657,675126667.2898293,-230536490.018991
276,-22787051.76507312,783375467.4436133,39996716.9617455
277,-157125498.3029973,657754504.3458929,-258362224.9968376
278,-180366397.9155749,719063123.0982584,-113985552.8229146
279,-97476474.3619032,744921874.9851836,45500925.4595603
280,29357557.19102512,699637774.9202099,149795469.201963
281,-30941835.87687682,711210489.2089822,-281640071.6852775
282,170545234.7674087,688531254.9561608,31223496.59727278
283,127759142.9306108,721760100.75157,-136987610.7359181
284,-162847626.1726269,713975287.369268,13835444.03403413
285,-250270600.6077917,669245076.466866,146846381.6390224
286,-156735675.9247881,630919550.3744786,273942554.0340984
287,-319443988.1138742,636059753.1766732,96735180.68731236
288,82903952.84204914,779105226.8770685,187863049.8641995
